ECG_Clean,ECG_Rate,PPG_Clean,PPG_Rate,RSP_Clean,RSP_Rate,pyVHR
-53.31741580356184,67.44544989686445,-61.64862228189128,69.58467342558107,-35.94392741712089,19.04815770515373,65.25212860107426
-52.635348322283846,67.44660214292291,-61.67133564309648,69.57014668430324,-35.94619250664864,19.048312923369977,65.25212980648939
-51.95079272927372,67.44777533582479,-61.688522992132015,69.55564970642347,-35.94739326867844,19.048468064083547,65.25213342621491
-51.2562489952863,67.44896942184987,-61.70022588381358,69.54118260600727,-35.94747628110621,19.04862312740419,65.25213946547103
-50.54671709128881,67.450184347309,-61.70649075785215,69.5267454969637,-35.94638848268314,19.048778113441674,65.25214792947794
-49.81219698845985,67.45142005854376,-61.70736886919106,69.51233849304673,-35.94407714490176,19.048933022305764,65.25215882345584
-49.05018865818847,67.45267650192608,-61.70291621689962,69.4979617078563,-35.94048984401216,19.049087854106237,65.25217215262491
-48.26069207207317,67.453953623858,-61.69319347112751,69.48361525483965,-35.93557444793106,19.04924260895287,65.25218792220538
-47.44620720192096,67.45525137077124,-61.67826589910685,69.46929924729235,-35.929279132806364,19.049397286955465,65.25220613741743
-46.60423401974639,67.45656968912694,-61.658203291815,69.45501379835967,-35.92155240710901,19.049551888223824,65.25222680348129
-45.72977249777056,67.45790852541528,-61.63307989319352,69.44075902103764,-35.91234312112364,19.049706412867767,65.25224992561712
-44.81782260842011,67.45926782615517,-61.60297433358622,69.42653502817431,-35.901600469222075,19.04986086099711,65.25227550904512
-43.87088432432632,67.46064753789393,-61.56796956814108,69.41234193247101,-35.88927399230341,19.05001523272169,65.2523035589855
-42.88145761832404,67.46204760720697,-61.52815282017366,69.39817984648347,-35.875313580406875,19.050169528151347,65.25233408065847
-41.849542463450696,67.46346798069742,-61.48361552908602,69.38404888262309,-35.85966947550315,19.050323747395925,65.25236707928424
-40.77763883294536,67.46490860499583,-61.43445330151942,69.36994915315806,-35.84229226709219,19.050477890565293,65.25240256008297
-39.66574670024767,67.46636942675987,-61.3807658628196,69.35588077021477,-35.823132873235416,19.050631957769312,65.25244052827487
-38.51636603899686,67.46785039267392,-61.32265700515498,69.34184384577881,-35.802142521784745,19.050785949117863,65.25248098908015
-37.331996823030735,67.46935144944891,-61.26023453029195,69.32783849169633,-35.77927273919246,19.05093986472083,65.25252394771903
-36.12263902638468,67.47087254382178,-61.19361018806839,69.31386481967523,-35.75447533215205,19.05109370468811,65.25256940941166
-34.89829262329059,67.47241362255537,-61.12289961327413,69.29992294128631,-35.72770236945431,19.05124746912961,65.25261737937826
-33.66395758817589,67.47397463243792,-61.04822226291411,69.28601296796467,-35.69890617882063,19.05140115815524,65.25266786283905
-32.42963389566248,67.47555552028288,-60.969701354240726,69.27213501101076,-35.66803935134125,19.05155477187493,65.25272086501421
-31.202821520565696,67.47715623292856,-60.8874638030382,69.25828918159173,-35.63505474614615,19.0517083103986,65.25277639112394
-29.991020437893305,67.47877671723776,-60.80164016142539,69.24447559074262,-35.59990548793595,19.051861773836205,65.25283444638843
-28.804230622844425,67.48041692009751,-60.71236455440031,69.23069434936758,-35.56254495000054,19.05201516229768,65.2528950360279
-27.64245205080849,67.48207678841874,-60.61977461430868,69.21694556824117,-35.52292673748746,19.052168475893,65.25295816526253
-26.50568469736422,67.48375626913595,-60.52401141237998,69.20322935800957,-35.48100468568167,19.052321714732123,65.25302383931252
-25.39642853827852,67.48545530920691,-60.42521938643814,69.18954582919179,-35.43673287330235,19.052474878925025,65.25309206339809
-24.31718354950547,67.48717385561233,-60.32354626385971,69.17589509218098,-35.39006565082193,19.052627968581703,65.25316284273941
-23.267949707185224,67.48891185535557,-60.21914297882092,69.16227725724568,-35.34095766905602,19.052780983812134,65.2532361825567
-22.25122698764297,67.49066925546236,-60.11216358284564,69.14869243453099,-35.289363885895185,19.052933924726343,65.25331208807015
-21.262015367387814,67.4924460029804,-60.00276514763995,69.1351407340599,-35.235239543805704,19.053086791434332,65.25339056449995
-20.31031482311179,67.4942420449791,-59.891107659174814,69.12162226573459,-35.17854013286102,19.053239584046125,65.25347161706634
-19.39862533168867,67.49605732854934,-59.777353901957326,69.10813713933754,-35.11922136882223,19.05339230267175,65.25355525098946
-18.52444687017296,67.49789180080302,-59.661669332412416,69.09468546453296,-35.05723919365118,19.05354494742125,65.25364147148956
-17.682779415798784,67.49974540887284,-59.54422194028115,69.08126735086792,-34.992549783705385,19.053697518404668,65.25373028378682
-16.866122945978802,67.50161809991205,-59.42518209692916,69.06788290777374,-34.92510955824198,19.05385001573208,65.25382169310141
-16.071977438303094,67.50350982109401,-59.30472238944854,69.05453224456714,-34.85487518085763,19.05400243951353,65.25391570465358
